Aluno,Unidade,Sala,Aula,Data,Fez a atividade antes da aula,Presença/Ausencia,Fez lição de casa,Participação,Comportamento
Estudante 1,Campinas,Four Corners A1,1,2025-02-08,,P,,:-D,
Estudante 1,Campinas,Four Corners A1,2,2025-02-15,√,P,√,:-D,
Estudante 1,Campinas,Four Corners A1,3,2025-02-22,√,P,√,:-D,
Estudante 1,Campinas,Four Corners A1,4,2025-03-08,√,P,√,:-D,
Estudante 1,Campinas,Four Corners A1,5,2025-03-15,√,P,√,:-D,
Estudante 1,Campinas,Four Corners A1,6,2025-03-29,√,P,√,,
Estudante 1,Campinas,Four Corners A1,7,2025-04-05,√,P,√,:-D,
Estudante 1,Campinas,Four Corners A1,8,2025-04-12,√,P,√,:-D,
Estudante 1,Campinas,Four Corners A1,9,2025-04-26,√,P,√,:-D,
Estudante 1,Campinas,Four Corners A1,10,2025-05-17,√,P,√,:-D,
Estudante 1,Campinas,Four Corners A1,11,2025-05-24,√,P,√,:-D,
Estudante 1,Campinas,Four Corners A1,12,2025-05-31,√,P,√,:-D,
Estudante 1,Campinas,Four Corners A1,13,2025-06-07,√,P,,:-D,
Estudante 1,Campinas,Four Corners A1,14,,,,,,
Estudante 1,Campinas,Four Corners A1,15,,,13,,:-D,
Estudante 10,Campinas,Four Corners A1,1,2025-02-08,,P,,:-D,
Estudante 10,Campinas,Four Corners A1,2,2025-02-15,√,P,N,:-D,
Estudante 10,Campinas,Four Corners A1,3,2025-02-22,N,P,√,:-D,
Estudante 10,Campinas,Four Corners A1,4,2025-03-08,√,P,N,:-D,
Estudante 10,Campinas,Four Corners A1,5,2025-03-15,N,P,√,:-D,
Estudante 10,Campinas,Four Corners A1,6,2025-03-29,√,P,√,,
Estudante 10,Campinas,Four Corners A1,7,2025-04-05,√,P,√,:-D,
Estudante 10,Campinas,Four Corners A1,8,2025-04-12,√,P,N,:-D,
Estudante 10,Campinas,Four Corners A1,9,2025-04-26,N,P,√,:-D,
Estudante 10,Campinas,Four Corners A1,10,2025-05-17,√,P,√,:-D,
Estudante 10,Campinas,Four Corners A1,11,2025-05-24,√,A,√,:-D,
Estudante 10,Campinas,Four Corners A1,12,2025-05-31,√,P,√,:-D,
Estudante 10,Campinas,Four Corners A1,13,2025-06-07,√,P,,:-D,
Estudante 10,Campinas,Four Corners A1,14,,,,,,
Estudante 10,Campinas,Four Corners A1,15,,,12,,:-D,
Estudante 11,Campinas,Four Corners A1,1,2025-02-08,,P,,:-D,
Estudante 11,Campinas,Four Corners A1,2,2025-02-15,√,P,√,:-D,
Estudante 11,Campinas,Four Corners A1,3,2025-02-22,√,P,√,:-D,
Estudante 11,Campinas,Four Corners A1,4,2025-03-08,√,A,√,,
Estudante 11,Campinas,Four Corners A1,5,2025-03-15,√,P,√,:-D,
Estudante 11,Campinas,Four Corners A1,6,2025-03-29,√,P,√,,
Estudante 11,Campinas,Four Corners A1,7,2025-04-05,√,P,√,:-D,
Estudante 11,Campinas,Four Corners A1,8,2025-04-12,√,P,√,:-D,
Estudante 11,Campinas,Four Corners A1,9,2025-04-26,√,P,√,:-D,
Estudante 11,Campinas,Four Corners A1,10,2025-05-17,√,P,√,:-D,
Estudante 11,Campinas,Four Corners A1,11,2025-05-24,√,P,√,:-D,
Estudante 11,Campinas,Four Corners A1,12,2025-05-31,√,P,√,:-D,
Estudante 11,Campinas,Four Corners A1,13,2025-06-07,√,P,,:-D,
Estudante 11,Campinas,Four Corners A1,14,,,,,,
Estudante 11,Campinas,Four Corners A1,15,,,12,,:-D,
Estudante 12,Campinas,Four Corners A1,1,2025-02-08,,,,,
Estudante 12,Campinas,Four Corners A1,2,2025-02-15,,,,,
Estudante 12,Campinas,Four Corners A1,3,2025-02-22,,P,,,
Estudante 12,Campinas,Four Corners A1,4,2025-03-08,,,,,
Estudante 12,Campinas,Four Corners A1,5,2025-03-15,√,,,,
Estudante 12,Campinas,Four Corners A1,6,2025-03-29,,,,,
Estudante 12,Campinas,Four Corners A1,7,2025-04-05,,,,,
Estudante 12,Campinas,Four Corners A1,8,2025-04-12,,P,,:-D,
Estudante 12,Campinas,Four Corners A1,9,2025-04-26,√,,,,
Estudante 12,Campinas,Four Corners A1,10,2025-05-17,√,P,,:-D,
Estudante 12,Campinas,Four Corners A1,11,2025-05-24,√,,√,:-D,
Estudante 12,Campinas,Four Corners A1,12,2025-05-31,√,,,,
Estudante 12,Campinas,Four Corners A1,13,2025-06-07,,,,,
Estudante 12,Campinas,Four Corners A1,14,,,,,,
Estudante 12,Campinas,Four Corners A1,15,,,3,,,
Estudante 13,Campinas,Four Corners A1,1,2025-02-08,,P,,:-D,
Estudante 13,Campinas,Four Corners A1,2,2025-02-15,√,P,+/-,:-D,
Estudante 13,Campinas,Four Corners A1,3,2025-02-22,N,P,N,:-D,
Estudante 13,Campinas,Four Corners A1,4,2025-03-08,√,P,N,:-D,
Estudante 13,Campinas,Four Corners A1,5,2025-03-15,√,A,N,,
Estudante 13,Campinas,Four Corners A1,6,2025-03-29,√,A,N,,
Estudante 13,Campinas,Four Corners A1,7,2025-04-05,N,P,N,:-D,
Estudante 13,Campinas,Four Corners A1,8,2025-04-12,√,P,N,:-D,
Estudante 13,Campinas,Four Corners A1,9,2025-04-26,√,A,N,,
Estudante 13,Campinas,Four Corners A1,10,2025-05-17,√,P,N,:-D,
Estudante 13,Campinas,Four Corners A1,11,2025-05-24,√,P,√,:-D,
Estudante 13,Campinas,Four Corners A1,12,2025-05-31,√,P,N,,
Estudante 13,Campinas,Four Corners A1,13,2025-06-07,√,A,,,
Estudante 13,Campinas,Four Corners A1,14,,,,,,
Estudante 13,Campinas,Four Corners A1,15,,,9,,:-D,
Estudante 14,Campinas,Four Corners A1,1,2025-02-08,,A,,,
Estudante 14,Campinas,Four Corners A1,2,2025-02-15,√,P,√,:-D,
Estudante 14,Campinas,Four Corners A1,3,2025-02-22,√,P,√,:-D,
Estudante 14,Campinas,Four Corners A1,4,2025-03-08,√,P,√,:-D,
Estudante 14,Campinas,Four Corners A1,5,2025-03-15,√,P,N,:-D,
Estudante 14,Campinas,Four Corners A1,6,2025-03-29,√,P,√,,
Estudante 14,Campinas,Four Corners A1,7,2025-04-05,√,P,√,:-D,
Estudante 14,Campinas,Four Corners A1,8,2025-04-12,√,P,√,:-D,
Estudante 14,Campinas,Four Corners A1,9,2025-04-26,√,P,√,:-D,
Estudante 14,Campinas,Four Corners A1,10,2025-05-17,√,P,√,:-D,
Estudante 14,Campinas,Four Corners A1,11,2025-05-24,+/-,P,√,:-D,
Estudante 14,Campinas,Four Corners A1,12,2025-05-31,√,P,√,:-D,
Estudante 14,Campinas,Four Corners A1,13,2025-06-07,√,P,,:-D,
Estudante 14,Campinas,Four Corners A1,14,,,,,,
Estudante 14,Campinas,Four Corners A1,15,,,12,,,
Estudante 15,Campinas,Four Corners A1,1,2025-02-08,,P,,:-D,
Estudante 15,Campinas,Four Corners A1,2,2025-02-15,√,A,√,,
Estudante 15,Campinas,Four Corners A1,3,2025-02-22,√,A,√,,
Estudante 15,Campinas,Four Corners A1,4,2025-03-08,√,P,√,:-D,
Estudante 15,Campinas,Four Corners A1,5,2025-03-15,√,P,√,:-D,
Estudante 15,Campinas,Four Corners A1,6,2025-03-29,√,P,√,,
Estudante 15,Campinas,Four Corners A1,7,2025-04-05,√,P,√,:-D,
Estudante 15,Campinas,Four Corners A1,8,2025-04-12,√,P,√,:-D,
Estudante 15,Campinas,Four Corners A1,9,2025-04-26,N,P,√,:-D,
Estudante 15,Campinas,Four Corners A1,10,2025-05-17,√,P,√,:-D,
Estudante 15,Campinas,Four Corners A1,11,2025-05-24,√,P,√,:-D,
Estudante 15,Campinas,Four Corners A1,12,2025-05-31,√,A,√,:-D,
Estudante 15,Campinas,Four Corners A1,13,2025-06-07,√,P,,:-/,
Estudante 15,Campinas,Four Corners A1,14,,,,,,
Estudante 15,Campinas,Four Corners A1,15,,,10,,:-D,
Estudante 16,Campinas,Four Corners A1,1,2025-02-08,,P,,:-&,
Estudante 16,Campinas,Four Corners A1,2,2025-02-15,√,P,N,:-/,
Estudante 16,Campinas,Four Corners A1,3,2025-02-22,N,P,√,:-D,
Estudante 16,Campinas,Four Corners A1,4,2025-03-08,√,A,√,,
Estudante 16,Campinas,Four Corners A1,5,2025-03-15,+/-,P,√,:-D,
Estudante 16,Campinas,Four Corners A1,6,2025-03-29,+/-,P,√,,
Estudante 16,Campinas,Four Corners A1,7,2025-04-05,N,P,√,:-D,
Estudante 16,Campinas,Four Corners A1,8,2025-04-12,+/-,P,√,:-D,
Estudante 16,Campinas,Four Corners A1,9,2025-04-26,+/-,P,√,:-D,
Estudante 16,Campinas,Four Corners A1,10,2025-05-17,+/-,P,√,:-D,
Estudante 16,Campinas,Four Corners A1,11,2025-05-24,√,P,√,:-D,
Estudante 16,Campinas,Four Corners A1,12,2025-05-31,√,P,√,:-D,
Estudante 16,Campinas,Four Corners A1,13,2025-06-07,N,P,,:-D,
Estudante 16,Campinas,Four Corners A1,14,,,,,,
Estudante 16,Campinas,Four Corners A1,15,,,12,,:-&,
Estudante 2,Campinas,Four Corners A1,1,2025-02-08,,P,,:-D,
Estudante 2,Campinas,Four Corners A1,2,2025-02-15,√,P,√,:-D,
Estudante 2,Campinas,Four Corners A1,3,2025-02-22,√,P,√,:-D,
Estudante 2,Campinas,Four Corners A1,4,2025-03-08,√,P,√,:-D,
Estudante 2,Campinas,Four Corners A1,5,2025-03-15,√,P,√,:-D,
Estudante 2,Campinas,Four Corners A1,6,2025-03-29,√,P,√,,
Estudante 2,Campinas,Four Corners A1,7,2025-04-05,√,A,√,,
Estudante 2,Campinas,Four Corners A1,8,2025-04-12,√,P,√,:-D,
Estudante 2,Campinas,Four Corners A1,9,2025-04-26,√,P,√,:-D,
Estudante 2,Campinas,Four Corners A1,10,2025-05-17,√,P,√,:-D,
Estudante 2,Campinas,Four Corners A1,11,2025-05-24,N,A,√,,
Estudante 2,Campinas,Four Corners A1,12,2025-05-31,√,P,√,:-D,
Estudante 2,Campinas,Four Corners A1,13,2025-06-07,√,P,,:-D,
Estudante 2,Campinas,Four Corners A1,14,,,,,,
Estudante 2,Campinas,Four Corners A1,15,,,11,,:-D,
Estudante 3,Campinas,Four Corners A1,1,2025-02-08,,P,,:-D,
Estudante 3,Campinas,Four Corners A1,2,2025-02-15,√,P,√,:-D,
Estudante 3,Campinas,Four Corners A1,3,2025-02-22,√,P,√,:-D,
Estudante 3,Campinas,Four Corners A1,4,2025-03-08,√,P,√,:-D,
Estudante 3,Campinas,Four Corners A1,5,2025-03-15,√,P,√,:-D,
Estudante 3,Campinas,Four Corners A1,6,2025-03-29,√,A,√,,
Estudante 3,Campinas,Four Corners A1,7,2025-04-05,√,P,N,:-D,
Estudante 3,Campinas,Four Corners A1,8,2025-04-12,√,P,√,:-D,
Estudante 3,Campinas,Four Corners A1,9,2025-04-26,√,P,√,:-D,
Estudante 3,Campinas,Four Corners A1,10,2025-05-17,√,P,N,:-D,
Estudante 3,Campinas,Four Corners A1,11,2025-05-24,√,P,√,:-D,
Estudante 3,Campinas,Four Corners A1,12,2025-05-31,√,P,√,:-D,
Estudante 3,Campinas,Four Corners A1,13,2025-06-07,√,P,,:-D,
Estudante 3,Campinas,Four Corners A1,14,,,,,,
Estudante 3,Campinas,Four Corners A1,15,,,12,,:-D,
Estudante 4,Campinas,Four Corners A1,1,2025-02-08,,P,,:-D,
Estudante 4,Campinas,Four Corners A1,2,2025-02-15,√,P,√,:-D,
Estudante 4,Campinas,Four Corners A1,3,2025-02-22,√,P,√,:-D,
Estudante 4,Campinas,Four Corners A1,4,2025-03-08,√,P,√,:-D,
