Aluno,Unidade,Sala,Aula,Data,atividade_antes,presenca,licao_casa,participacao,participacao_norm,prep_score,attendance_score,homework_score,interaction_score,engajamento,engajamento_pct
Estudante 1,Campinas,Four Corners A1,1,2025-02-08,0.0,1.0,0.0,3,1.0,0.0,1.0,0.0,1.0,0.6,60.0
Estudante 1,Campinas,Four Corners A1,2,2025-02-15,1.0,1.0,1.0,3,1.0,1.0,1.0,1.0,1.0,1.0999999999999999,110.0
Estudante 1,Campinas,Four Corners A1,3,2025-02-22,1.0,1.0,1.0,3,1.0,1.0,1.0,1.0,1.0,1.0999999999999999,110.0
Estudante 1,Campinas,Four Corners A1,4,2025-03-08,1.0,1.0,1.0,3,1.0,1.0,1.0,1.0,1.0,1.0999999999999999,110.0
Estudante 1,Campinas,Four Corners A1,5,2025-03-15,1.0,1.0,1.0,3,1.0,1.0,1.0,1.0,1.0,1.0999999999999999,110.0
Estudante 1,Campinas,Four Corners A1,6,2025-03-29,1.0,1.0,1.0,1,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,100.0
Estudante 1,Campinas,Four Corners A1,7,2025-04-05,1.0,1.0,1.0,3,1.0,1.0,1.0,1.0,1.0,1.0999999999999999,110.0
Estudante 1,Campinas,Four Corners A1,8,2025-04-12,1.0,1.0,1.0,3,1.0,1.0,1.0,1.0,1.0,1.0999999999999999,110.0
Estudante 1,Campinas,Four Corners A1,9,2025-04-26,1.0,1.0,1.0,3,1.0,1.0,1.0,1.0,1.0,1.0999999999999999,110.0
Estudante 1,Campinas,Four Corners A1,10,2025-05-17,1.0,1.0,1.0,3,1.0,1.0,1.0,1.0,1.0,1.0999999999999999,110.0
Estudante 1,Campinas,Four Corners A1,11,2025-05-24,1.0,1.0,1.0,3,1.0,1.0,1.0,1.0,1.0,1.0999999999999999,110.0
Estudante 1,Campinas,Four Corners A1,12,2025-05-31,1.0,1.0,1.0,3,1.0,1.0,1.0,1.0,1.0,1.0999999999999999,110.0
Estudante 1,Campinas,Four Corners A1,13,2025-06-07,1.0,1.0,0.0,3,1.0,1.0,1.0,0.0,1.0,0.9,90.0
Estudante 1,Campinas,Four Corners A1,14,,0.0,0.0,0.0,1,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.049999999999999996,5.0
Estudante 1,Campinas,Four Corners A1,15,,0.0,0.0,0.0,3,1.0,0.0,0.0,0.0,1.0,0.15,15.0
Estudante 10,Campinas,Four Corners A1,1,2025-02-08,0.0,1.0,0.0,3,1.0,0.0,1.0,0.0,1.0,0.6,60.0
Estudante 10,Campinas,Four Corners A1,2,2025-02-15,1.0,1.0,0.0,3,1.0,1.0,1.0,0.0,1.0,0.9,90.0
Estudante 10,Campinas,Four Corners A1,3,2025-02-22,0.0,1.0,1.0,3,1.0,0.0,1.0,1.0,1.0,0.8,80.0
Estudante 10,Campinas,Four Corners A1,4,2025-03-08,1.0,1.0,0.0,3,1.0,1.0,1.0,0.0,1.0,0.9,90.0
Estudante 10,Campinas,Four Corners A1,5,2025-03-15,0.0,1.0,1.0,3,1.0,0.0,1.0,1.0,1.0,0.8,80.0
Estudante 10,Campinas,Four Corners A1,6,2025-03-29,1.0,1.0,1.0,1,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,100.0
Estudante 10,Campinas,Four Corners A1,7,2025-04-05,1.0,1.0,1.0,3,1.0,1.0,1.0,1.0,1.0,1.0999999999999999,110.0
Estudante 10,Campinas,Four Corners A1,8,2025-04-12,1.0,1.0,0.0,3,1.0,1.0,1.0,0.0,1.0,0.9,90.0
Estudante 10,Campinas,Four Corners A1,9,2025-04-26,0.0,1.0,1.0,3,1.0,0.0,1.0,1.0,1.0,0.8,80.0
Estudante 10,Campinas,Four Corners A1,10,2025-05-17,1.0,1.0,1.0,3,1.0,1.0,1.0,1.0,1.0,1.0999999999999999,110.0
Estudante 10,Campinas,Four Corners A1,11,2025-05-24,1.0,0.0,1.0,3,1.0,1.0,0.0,1.0,1.0,0.65,65.0
Estudante 10,Campinas,Four Corners A1,12,2025-05-31,1.0,1.0,1.0,3,1.0,1.0,1.0,1.0,1.0,1.0999999999999999,110.0
Estudante 10,Campinas,Four Corners A1,13,2025-06-07,1.0,1.0,0.0,3,1.0,1.0,1.0,0.0,1.0,0.9,90.0
Estudante 10,Campinas,Four Corners A1,14,,0.0,0.0,0.0,1,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.049999999999999996,5.0
Estudante 10,Campinas,Four Corners A1,15,,0.0,0.0,0.0,3,1.0,0.0,0.0,0.0,1.0,0.15,15.0
Estudante 11,Campinas,Four Corners A1,1,2025-02-08,0.0,1.0,0.0,3,1.0,0.0,1.0,0.0,1.0,0.6,60.0
Estudante 11,Campinas,Four Corners A1,2,2025-02-15,1.0,1.0,1.0,3,1.0,1.0,1.0,1.0,1.0,1.0999999999999999,110.0
Estudante 11,Campinas,Four Corners A1,3,2025-02-22,1.0,1.0,1.0,3,1.0,1.0,1.0,1.0,1.0,1.0999999999999999,110.0
Estudante 11,Campinas,Four Corners A1,4,2025-03-08,1.0,0.0,1.0,1,0.3333333333333333,1.0,0.0,1.0,0.3333333333333333,0.55,55.0
Estudante 11,Campinas,Four Corners A1,5,2025-03-15,1.0,1.0,1.0,3,1.0,1.0,1.0,1.0,1.0,1.0999999999999999,110.0
Estudante 11,Campinas,Four Corners A1,6,2025-03-29,1.0,1.0,1.0,1,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,100.0
Estudante 11,Campinas,Four Corners A1,7,2025-04-05,1.0,1.0,1.0,3,1.0,1.0,1.0,1.0,1.0,1.0999999999999999,110.0
