aluno_id,Aluno,Sala,Unidade,prep_score,attendance_score,homework_score,interaction_score,engajamento,cluster
Estudante 10::Four Corners A1::Campinas,Estudante 10,Four Corners A1,Campinas,0.6428571428571429,0.8571428571428571,0.5714285714285714,0.9047619047619048,0.8285714285714285,0
Estudante 10::Four Corners A1::Capão Redondo,Estudante 10,Four Corners A1,Capão Redondo,0.7857142857142857,0.8571428571428571,0.7857142857142857,0.619047619047619,0.8714285714285713,0
Estudante 10::Four Corners A1::Diadema,Estudante 10,Four Corners A1,Diadema,0.0,0.0,0.0,0.3333333333333333,0.049999999999999996,1
Estudante 10::Four Corners A1::Jabaquara,Estudante 10,Four Corners A1,Jabaquara,0.6428571428571429,0.9285714285714286,0.5,0.7142857142857143,0.8178571428571428,2
Estudante 10::Four Corners A1::Mauá,Estudante 10,Four Corners A1,Mauá,0.35714285714285715,0.7142857142857143,0.6071428571428571,0.7142857142857143,0.6571428571428571,2
Estudante 10::Four Corners A1::Rio de Janeiro,Estudante 10,Four Corners A1,Rio de Janeiro,0.6785714285714286,0.7142857142857143,0.7857142857142857,0.8095238095238095,0.8035714285714286,0
Estudante 10::Four Corners A1::Tatuapé,Estudante 10,Four Corners A1,Tatuapé,0.35714285714285715,0.6428571428571429,0.42857142857142855,0.619047619047619,0.575,3
Estudante 10::Four Corners A1::Unidade Virtual (aulas aos domingos),Estudante 10,Four Corners A1,Unidade Virtual (aulas aos domingos),0.0,0.0,0.0,0.3333333333333333,0.049999999999999996,1
Estudante 10::Four Corners A1::Unidade Virtual (aulas aos sábados),Estudante 10,Four Corners A1,Unidade Virtual (aulas aos sábados),0.14285714285714285,0.0,0.0,0.38095238095238093,0.09999999999999999,1
Estudante 10::Four Corners A1::Vila Sônia (manhã),Estudante 10,Four Corners A1,Vila Sônia (manhã),0.07142857142857142,0.7142857142857143,0.07142857142857142,0.7142857142857143,0.4642857142857143,3
Estudante 10::Four Corners A1::Vila Sônia (tarde),Estudante 10,Four Corners A1,Vila Sônia (tarde),0.7142857142857143,0.6428571428571429,0.6428571428571429,0.8095238095238095,0.7535714285714284,2
Estudante 10::Four Corners A2::Mauá,Estudante 10,Four Corners A2,Mauá,0.8571428571428571,0.6428571428571429,0.6428571428571429,0.8095238095238095,0.7964285714285714,0
Estudante 10::Four Corners A2::Unidade Virtual (aulas aos sábados),Estudante 10,Four Corners A2,Unidade Virtual (aulas aos sábados),0.0,0.0,0.0,0.38095238095238093,0.05714285714285714,1
Estudante 10::Four Corners A3::Unidade Virtual (aulas aos sábados),Estudante 10,Four Corners A3,Unidade Virtual (aulas aos sábados),0.7142857142857143,0.9285714285714286,0.6428571428571429,0.7619047619047619,0.875,0
Estudante 10::Four Corners B1::Campinas,Estudante 10,Four Corners B1,Campinas,0.8571428571428571,0.8571428571428571,0.7857142857142857,0.9047619047619048,0.9357142857142857,0
Estudante 10::Four Corners B1::Capão Redondo,Estudante 10,Four Corners B1,Capão Redondo,0.8571428571428571,0.9285714285714286,0.7142857142857143,0.619047619047619,0.9107142857142857,0
Estudante 10::Four Corners B1::Diadema,Estudante 10,Four Corners B1,Diadema,0.7142857142857143,0.8571428571428571,0.6785714285714286,0.9047619047619048,0.8714285714285713,0
Estudante 10::Four Corners B1::Jabaquara,Estudante 10,Four Corners B1,Jabaquara,0.0,0.07142857142857142,0.0,0.3333333333333333,0.08214285714285714,1
Estudante 10::Four Corners B1::Mauá,Estudante 10,Four Corners B1,Mauá,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.42857142857142855,0.1642857142857143,1
Estudante 10::Four Corners B1::Rio de Janeiro,Estudante 10,Four Corners B1,Rio de Janeiro,0.7142857142857143,0.8571428571428571,0.4642857142857143,0.8095238095238095,0.8142857142857143,2
Estudante 10::Four Corners B1::Tatuapé,Estudante 10,Four Corners B1,Tatuapé,0.5,0.7857142857142857,0.21428571428571427,0.8095238095238095,0.6678571428571428,3
Estudante 10::Four Corners B1::Unidade Virtual (aulas aos domingos),Estudante 10,Four Corners B1,Unidade Virtual (aulas aos domingos),0.0,0.0,0.0,0.3333333333333333,0.049999999999999996,1
Estudante 10::Four Corners B1::Unidade Virtual (aulas aos sábados),Estudante 10,Four Corners B1,Unidade Virtual (aulas aos sábados),0.6428571428571429,0.7857142857142857,0.6428571428571429,0.8571428571428571,0.8035714285714286,0
Estudante 10::Four Corners B1::Vila Sônia (manhã),Estudante 10,Four Corners B1,Vila Sônia (manhã),0.8571428571428571,0.6428571428571429,0.7142857142857143,0.7142857142857143,0.7964285714285715,0
Estudante 10::Four Corners B1::Vila Sônia (tarde),Estudante 10,Four Corners B1,Vila Sônia (tarde),0.5714285714285714,0.7142857142857143,0.4642857142857143,0.8095238095238095,0.7071428571428572,2
Estudante 10::Four Corners B2::Campinas,Estudante 10,Four Corners B2,Campinas,0.7857142857142857,0.7142857142857143,0.7857142857142857,0.7142857142857143,0.8214285714285714,0
